# Eigenvectors for Ho3+ (f10)
# Rows: basis states, Columns: eigenstates
 (-3.68810413e-01+ 0.00000000e+00j)  (-3.92943549e-01+ 0.00000000e+00j)  (-3.71291149e-01+ 0.00000000e+00j)  (-3.50481807e-01+ 0.00000000e+00j)  (-2.86301164e-01+ 0.00000000e+00j)  ( 3.51973346e-01+ 0.00000000e+00j)  (-1.91966867e-01+ 0.00000000e+00j)  (-2.69183435e-01+ 0.00000000e+00j)  ( 2.80135207e-01+ 0.00000000e+00j)  ( 1.81356470e-01+ 0.00000000e+00j)  (-1.35501548e-01+ 0.00000000e+00j)  (-6.23657808e-03+ 0.00000000e+00j)  (-8.99827445e-03+ 0.00000000e+00j)  ( 3.99261280e-02+ 0.00000000e+00j)  (-3.67992371e-02+ 0.00000000e+00j)  ( 2.00807475e-02-0.00000000e+00j)  (-2.27395495e-02+ 0.00000000e+00j)
 ( 5.28628642e-01-5.00000000e-16j)  ( 5.40967114e-01-6.00000000e-16j)  (-4.43394123e-02-9.00000000e-16j)  (-7.61126835e-02+ 1.10000000e-15j)  (-3.19360902e-01+ 4.00000000e-16j)  ( 3.71770433e-01-5.00000000e-16j)  ( 4.36568035e-02-2.00000000e-16j)  (-3.20171442e-01+ 4.00000000e-16j)  ( 2.18005920e-01-2.00000000e-16j)  ( 6.02348010e-02+ 1.10000000e-15j)  ( 4.29048683e-02+ 7.00000000e-16j)  (-1.08876107e-01+ 5.00000000e-16j)  ( 8.29116693e-02+ 3.00000000e-16j)  ( 7.41701625e-04-1.00000000e-16j)  (-4.44054808e-04+ 1.00000000e-16j)  (-4.61109572e-02-1.00000000e-16j)  ( 4.09383465e-02+ 1.00000000e-16j)
 ( 1.54285491e-01+ 2.00000000e-16j)  ( 1.45497216e-01+ 2.00000000e-16j)  (-1.66286758e-01-4.00000000e-16j)  (-1.75514281e-01+ 3.00000000e-16j)  ( 3.63757036e-01-1.00000000e-16j)  (-3.91665615e-01+ 6.00000000e-16j)  ( 9.47599988e-03-5.00000000e-16j)  (-6.95542534e-02-7.00000000e-16j)  ( 4.13675429e-01-4.00000000e-16j)  ( 4.66368124e-01-1.40000000e-15j)  (-1.84795268e-01+ 4.00000000e-16j)  ( 2.54590968e-01-9.00000000e-16j)  (-2.70876699e-01-1.00000000e-15j)  (-1.55455823e-01+ 3.00000000e-16j)  ( 1.40741962e-01-3.00000000e-16j)  ( 1.90687290e-02+ 3.00000000e-16j)  (-2.48237658e-02-3.00000000e-16j)
 ( 5.45793818e-03+ 0.00000000e+00j)  ( 1.49766589e-02+ 0.00000000e+00j)  (-2.54052673e-01-3.00000000e-16j)  (-2.49981919e-01-0.00000000e+00j)  ( 2.37062626e-01+ 2.00000000e-16j)  (-2.53205212e-01+ 2.00000000e-16j)  ( 3.19020983e-01-6.00000000e-16j)  (-8.41221170e-02-3.00000000e-16j)  ( 1.17437950e-01-9.00000000e-16j)  (-2.23002279e-03+ 1.50000000e-15j)  ( 3.31499320e-01+ 1.90000000e-15j)  (-3.08451621e-01+ 1.30000000e-15j)  ( 3.17670054e-01+ 1.30000000e-15j)  ( 3.65239955e-01-4.00000000e-16j)  (-3.87580308e-01+ 6.00000000e-16j)  ( 1.44726502e-01-3.00000000e-16j)  (-1.38708738e-01+ 3.00000000e-16j)
 (-1.79519758e-02+ 0.00000000e+00j)  (-2.20431794e-03+ 0.00000000e+00j)  (-3.26631328e-01-1.40000000e-15j)  (-3.57776181e-01+ 1.30000000e-15j)  (-4.59189973e-02+ 2.00000000e-16j)  (-4.79497759e-02+ 1.00000000e-16j)  ( 3.19740799e-01-2.00000000e-16j)  ( 1.46219768e-01-4.00000000e-16j)  (-1.75014157e-01-2.00000000e-16j)  (-1.07225608e-01+ 3.00000000e-16j)  ( 2.89702496e-01+ 1.30000000e-15j)  (-6.15350664e-03-3.00000000e-16j)  ( 4.31816118e-02+ 5.00000000e-16j)  (-3.42971875e-01+ 5.00000000e-16j)  ( 3.11458365e-01-5.00000000e-16j)  (-3.70765555e-01-4.00000000e-16j)  ( 3.96104097e-01+ 3.00000000e-16j)
 ( 1.63635564e-01-1.00000000e-16j)  ( 1.24907298e-01-1.00000000e-16j)  (-3.27669005e-01+ 1.00000000e-16j)  (-3.03439896e-01-3.00000000e-16j)  (-1.28478261e-01+ 4.00000000e-16j)  ( 6.41075211e-02-3.00000000e-16j)  (-2.68953326e-02+ 4.00000000e-16j)  ( 3.02250869e-01-2.00000000e-16j)  (-3.03867524e-01+ 3.00000000e-16j)  (-1.74371778e-01-5.00000000e-16j)  ( 2.98420733e-03-9.00000000e-16j)  ( 2.38723412e-01-8.00000000e-16j)  (-1.91154277e-01-1.10000000e-15j)  (-6.37735203e-02-4.00000000e-16j)  ( 5.01866266e-02+ 5.00000000e-16j)  ( 4.84574362e-01+ 1.10000000e-15j)  (-4.33366641e-01-8.00000000e-16j)
 ( 1.67739161e-01-0.00000000e+00j)  ( 1.25509861e-01-0.00000000e+00j)  (-2.03893501e-01-1.20000000e-15j)  (-2.33760886e-01+ 1.00000000e-15j)  ( 1.18993465e-01+ 3.00000000e-16j)  (-7.01947391e-02-3.00000000e-16j)  (-3.84961347e-01+ 6.00000000e-16j)  ( 1.34692376e-01+ 8.00000000e-16j)  (-2.50209453e-01+ 1.00000000e-15j)  (-1.22968029e-01-1.70000000e-15j)  (-3.98240073e-01-2.80000000e-15j)  ( 1.19170805e-02-0.00000000e+00j)  (-8.13247624e-02-6.00000000e-16j)  ( 3.50552622e-01+ 4.00000000e-16j)  (-3.27607228e-01-2.00000000e-16j)  (-2.83631339e-01-9.00000000e-16j)  ( 3.47466469e-01+ 1.00000000e-15j)
 ( 2.48428602e-02+ 0.00000000e+00j)  ( 1.40282554e-02+ 1.00000000e-16j)  (-1.08052873e-01+ 1.10000000e-15j)  (-5.78740663e-02-1.60000000e-15j)  ( 3.06982766e-01-1.00000000e-16j)  (-9.51336866e-02+ 1.00000000e-16j)  (-2.23181527e-01+ 2.00000000e-16j)  (-3.19801429e-01+ 1.70000000e-15j)  (-5.92322045e-02-3.00000000e-16j)  (-3.40591305e-01+ 8.00000000e-16j)  (-3.05329028e-01-2.20000000e-15j)  (-5.20556803e-01+ 1.70000000e-15j)  ( 1.48384884e-01+ 8.00000000e-16j)  (-3.10249426e-01-1.00000000e-16j)  ( 3.04817633e-01+ 2.00000000e-16j)  ( 1.53085012e-01+ 6.00000000e-16j)  (-1.02233764e-01-4.00000000e-16j)
 (-9.84314087e-02+ 1.00000000e-16j)  ( 4.84550000e-12-0.00000000e+00j)  ( 3.68750002e-02-1.00000000e-15j)  (-5.16424500e-10+ 9.00000000e-16j)  ( 3.19157343e-02-0.00000000e+00j)  ( 5.91250000e-12+ 2.00000000e-16j)  ( 3.41806534e-01-6.00000000e-16j)  (-3.99913497e-01+ 1.60000000e-15j)  ( 3.15893000e-11-1.30000000e-15j)  (-3.81971145e-01+ 2.50000000e-15j)  (-7.19200000e-13-7.00000000e-16j)  (-1.43214000e-11+ 3.00000000e-16j)  (-7.09534830e-01-2.70000000e-15j)  ( 7.82858000e-11+ 4.00000000e-16j)  (-2.40222931e-01+ 2.00000000e-16j)  (-2.93015000e-11-1.00000000e-16j)  ( 6.42003096e-02+ 1.00000000e-16j)
 (-2.48428602e-02+ 1.00000000e-16j)  ( 1.40282554e-02-1.00000000e-16j)  ( 1.08052872e-01-4.50000000e-15j)  (-5.78740694e-02+ 5.00000000e-15j)  (-3.06982766e-01+ 3.00000000e-16j)  (-9.51336867e-02+ 2.00000000e-16j)  ( 2.23181527e-01-6.00000000e-16j)  ( 3.19801429e-01-8.00000000e-16j)  (-5.92322045e-02+ 1.20000000e-15j)  ( 3.40591305e-01-3.70000000e-15j)  (-3.05329028e-01-8.00000000e-16j)  (-5.20556803e-01+ 2.50000000e-15j)  (-1.48384884e-01-3.00000000e-16j)  (-3.10249426e-01+ 4.00000000e-16j)  (-3.04817633e-01+ 7.00000000e-16j)  ( 1.53085012e-01+ 1.00000000e-16j)  ( 1.02233764e-01+ 1.00000000e-16j)
 ( 1.67739161e-01-3.00000000e-16j)  (-1.25509861e-01+ 2.00000000e-16j)  (-2.03893494e-01+ 1.19000000e-14j)  ( 2.33760892e-01-1.26000000e-14j)  ( 1.18993465e-01-4.00000000e-16j)  ( 7.01947391e-02-4.00000000e-16j)  (-3.84961347e-01+ 7.00000000e-16j)  ( 1.34692376e-01-1.80000000e-15j)  ( 2.50209453e-01-2.70000000e-15j)  (-1.22968029e-01+ 3.40000000e-15j)  ( 3.98240073e-01+ 1.10000000e-15j)  (-1.19170805e-02+ 1.00000000e-16j)  (-8.13247624e-02-0.00000000e+00j)  (-3.50552622e-01+ 7.00000000e-16j)  (-3.27607228e-01+ 7.00000000e-16j)  ( 2.83631339e-01+ 4.00000000e-16j)  ( 3.47466469e-01+ 4.00000000e-16j)
