# Eigenvectors for Ho3+ (f10) - Rows - basis states, Columns: eigenstates
 (-3.68810413e-01+ 0.00000000e+00j)  (-3.92943549e-01+ 0.00000000e+00j)  (-3.71291149e-01+ 0.00000000e+00j)  (-3.50481807e-01+ 0.00000000e+00j)  (-2.86301164e-01+ 0.00000000e+00j)  ( 3.51973346e-01+ 0.00000000e+00j)  (-1.91966867e-01+ 0.00000000e+00j)  (-2.69183435e-01+ 0.00000000e+00j)
 ( 5.28628642e-01-5.00000000e-16j)  ( 5.40967114e-01-6.00000000e-16j)  (-4.43394123e-02-9.00000000e-16j)  (-7.61126835e-02+ 1.10000000e-15j)  (-3.19360902e-01+ 4.00000000e-16j)  ( 3.71770433e-01-5.00000000e-16j)  ( 4.36568035e-02-2.00000000e-16j)  (-3.20171442e-01+ 4.00000000e-16j)
 ( 1.54285491e-01+ 2.00000000e-16j)  ( 1.45497216e-01+ 2.00000000e-16j)  (-1.66286758e-01-4.00000000e-16j)  (-1.75514281e-01+ 3.00000000e-16j)  ( 3.63757036e-01-1.00000000e-16j)  (-3.91665615e-01+ 6.00000000e-16j)  ( 9.47599988e-03-5.00000000e-16j)  (-6.95542534e-02-7.00000000e-16j)
 ( 5.45793818e-03+ 0.00000000e+00j)  ( 1.49766589e-02+ 0.00000000e+00j)  (-2.54052673e-01-3.00000000e-16j)  (-2.49981919e-01-0.00000000e+00j)  ( 2.37062626e-01+ 2.00000000e-16j)  (-2.53205212e-01+ 2.00000000e-16j)  ( 3.19020983e-01-6.00000000e-16j)  (-8.41221170e-02-3.00000000e-16j)
 (-1.79519758e-02+ 0.00000000e+00j)  (-2.20431794e-03+ 0.00000000e+00j)  (-3.26631328e-01-1.40000000e-15j)  (-3.57776181e-01+ 1.30000000e-15j)  (-4.59189973e-02+ 2.00000000e-16j)  (-4.79497759e-02+ 1.00000000e-16j)  ( 3.19740799e-01-2.00000000e-16j)  ( 1.46219768e-01-4.00000000e-16j)
 ( 1.63635564e-01-1.00000000e-16j)  ( 1.24907298e-01-1.00000000e-16j)  (-3.27669005e-01+ 1.00000000e-16j)  (-3.03439896e-01-3.00000000e-16j)  (-1.28478261e-01+ 4.00000000e-16j)  ( 6.41075211e-02-3.00000000e-16j)  (-2.68953326e-02+ 4.00000000e-16j)  ( 3.02250869e-01-2.00000000e-16j)
 ( 1.67739161e-01-0.00000000e+00j)  ( 1.25509861e-01-0.00000000e+00j)  (-2.03893501e-01-1.20000000e-15j)  (-2.33760886e-01+ 1.00000000e-15j)  ( 1.18993465e-01+ 3.00000000e-16j)  (-7.01947391e-02-3.00000000e-16j)  (-3.84961347e-01+ 6.00000000e-16j)  ( 1.34692376e-01+ 8.00000000e-16j)
 ( 2.48428602e-02+ 0.00000000e+00j)  ( 1.40282554e-02+ 1.00000000e-16j)  (-1.08052873e-01+ 1.10000000e-15j)  (-5.78740663e-02-1.60000000e-15j)  ( 3.06982766e-01-1.00000000e-16j)  (-9.51336866e-02+ 1.00000000e-16j)  (-2.23181527e-01+ 2.00000000e-16j)  (-3.19801429e-01+ 1.70000000e-15j)
 (-9.84314087e-02+ 1.00000000e-16j)  ( 4.84550000e-12-0.00000000e+00j)  ( 3.68750002e-02-1.00000000e-15j)  (-5.16424500e-10+ 9.00000000e-16j)  ( 3.19157343e-02-0.00000000e+00j)  ( 5.91250000e-12+ 2.00000000e-16j)  ( 3.41806534e-01-6.00000000e-16j)  (-3.99913497e-01+ 1.60000000e-15j)
 (-2.48428602e-02+ 1.00000000e-16j)  ( 1.40282554e-02-1.00000000e-16j)  ( 1.08052872e-01-4.50000000e-15j)  (-5.78740694e-02+ 5.00000000e-15j)  (-3.06982766e-01+ 3.00000000e-16j)  (-9.51336867e-02+ 2.00000000e-16j)  ( 2.23181527e-01-6.00000000e-16j)  ( 3.19801429e-01-8.00000000e-16j)
 ( 1.67739161e-01-3.00000000e-16j)  (-1.25509861e-01+ 2.00000000e-16j)  (-2.03893494e-01+ 1.19000000e-14j)  ( 2.33760892e-01-1.26000000e-14j)  ( 1.18993465e-01-4.00000000e-16j)  ( 7.01947391e-02-4.00000000e-16j)  (-3.84961347e-01+ 7.00000000e-16j)  ( 1.34692376e-01-1.80000000e-15j)
 (-1.63635564e-01+ 2.00000000e-16j)  ( 1.24907298e-01-1.00000000e-16j)  ( 3.27668996e-01-1.71000000e-14j)  (-3.03439905e-01+ 1.79000000e-14j)  ( 1.28478261e-01+ 2.00000000e-16j)  ( 6.41075211e-02+ 2.00000000e-16j)  ( 2.68953326e-02+ 3.00000000e-16j)  (-3.02250869e-01+ 2.10000000e-15j)
 (-1.79519758e-02-0.00000000e+00j)  ( 2.20431794e-03-0.00000000e+00j)  (-3.26631318e-01+ 1.86000000e-14j)  ( 3.57776190e-01-1.95000000e-14j)  (-4.59189974e-02-2.00000000e-16j)  ( 4.79497758e-02-0.00000000e+00j)  ( 3.19740799e-01-1.00000000e-15j)  ( 1.46219768e-01-8.00000000e-16j)
 (-5.45793818e-03+ 0.00000000e+00j)  ( 1.49766589e-02-1.00000000e-16j)  ( 2.54052666e-01-1.37000000e-14j)  (-2.49981926e-01+ 1.45000000e-14j)  (-2.37062626e-01+ 5.00000000e-16j)  (-2.53205212e-01+ 4.00000000e-16j)  (-3.19020983e-01+ 5.00000000e-16j)  ( 8.41221170e-02-9.00000000e-16j)
 ( 1.54285491e-01-5.00000000e-16j)  (-1.45497216e-01+ 5.00000000e-16j)  (-1.66286753e-01+ 9.20000000e-15j)  ( 1.75514286e-01-9.80000000e-15j)  ( 3.63757036e-01-4.00000000e-16j)  ( 3.91665615e-01-4.00000000e-16j)  ( 9.47599988e-03+ 5.00000000e-16j)  (-6.95542534e-02+ 1.20000000e-15j)
 (-5.28628642e-01+ 5.00000000e-16j)  ( 5.40967114e-01-5.00000000e-16j)  ( 4.43394101e-02-3.20000000e-15j)  (-7.61126847e-02+ 3.30000000e-15j)  ( 3.19360902e-01+ 0.00000000e+00j)  ( 3.71770433e-01-5.00000000e-16j)  (-4.36568035e-02+ 0.00000000e+00j)  ( 3.20171442e-01-2.10000000e-15j)
 (-3.68810413e-01+ 7.00000000e-16j)  ( 3.92943549e-01-8.00000000e-16j)  (-3.71291139e-01+ 1.95000000e-14j)  ( 3.50481818e-01-2.03000000e-14j)  (-2.86301164e-01+ 4.00000000e-16j)  (-3.51973346e-01+ 9.00000000e-16j)  (-1.91966867e-01+ 7.00000000e-16j)  (-2.69183435e-01+ 2.10000000e-15j)
