# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
2F	2F	1	
#
f2
3P	2F	1	
3F	2F	1	
3H	2F	1	
1S	2F	1	
1D	2F	1	
1G	2F	1	
1I	2F	1	
#
f3
4S	3F	1	
4D	3P	-1	0 1 0 -1
4D	3F	-1	1 -2
4D	3H	-1	1 -2 0 -1 1
4F	3P	1	-1 0 0 -1
4F	3F	-1	1 -1
4F	3H	1	-1 -1 0 -1 1
4G	3P	1	-1 -1 0 -1 1
4G	3F	-1	1 -2
4G	3H	-1	-1 -2 1 -1 0 1
4I	3F	-1	1 -2
4I	3H	1	0 -2 0 1
2P	3F	-1	-1
2P	1D	1	0 -1 1 -1
2P	1G	-1	-1 -1 0 -1 1
2D1	3P	1	0 1 0 -2
2D1	3F	-1	-1 -2 0 1
2D1	3H	1	1 -2 0 -2 1
2D1	1D	-1	3 0 0 -2
2D1	1G	1	-1 1 0 -2 1
2D2	3P	1	0 0 0 -2 1
2D2	3H	-1	-1 3 0 -2
2D2	1D	1	-1 1 0 -2 1
2D2	1G	1	3 0 0 -2
2F1	3P	-1	-1 0 0 -1
2F1	3F	-1	-1 -1
2F1	3H	-1	-1 -1 0 -1 1
2F1	1S	1	1 0 0 -1
2F1	1D	-1	-1 -2 1 -1
2F1	1G	-1	-1 0 0 -1
2F1	1I	-1	-1 -2 0 -1 0 1
2F2	3P	1	-2 0 0 -1 1
2F2	3H	-1	-2 1 0 -1
2F2	1D	-1	-2 -2 1 -1 1
2F2	1G	-1	2 0 0 -1 -1
2F2	1I	1	-2 -2 0 1 -1 1
2G1	3P	-1	-1 -1 0 -2 1
2G1	3F	-1	-1 -2 0 1
2G1	3H	1	-1 -2 1 -2 0 1
2G1	1D	1	-1 -1 1 -2 1
2G1	1G	-1	-1 0 3 -2 -1
2G1	1I	1	-1 -1 0 0 -1 1
2G2	3P	-1	-2 0 1 -2 0 1
2G2	3H	-1	-2 1 0 -2 1
2G2	1D	1	-2 -2 0 -2 0 1
2G2	1G	1	2 -1 0 -2 0 1
2G2	1I	1	-2 -2 1
2H1	3F	-1	-1
2H1	1D	1	1 -3 1 -1
2H1	1G	1	-1 -1 1 -1 -1 1
2H1	1I	-1	0 -3 0 1 -1 1
2H2	3H	-1	-1
2H2	1D	1	-1 -3 0 0 0 1
2H2	1G	-1	3 -1 0 0 -1
2H2	1I	-1	0 -3 1 0 -1
2I	3F	-1	-1 -2 0 1
2I	3H	-1	0 -2
2I	1G	1	-1 1 0 0 -1
2I	1I	1	2 0 0 0 -1
2K	3H	-1	-1
2K	1G	1	3 -1 0 0 -1
2K	1I	-1	-1 -1 0 0 -1 0 1
2L	3H	-1	-1
2L	1I	1	-1
#
f4
5S	4F	-1	
5D	4D	-1	1 0 0 -1
5D	4F	-1	-3
5D	4G	1	-3 1 0 -1 1
5F	4S	1	0 0 0 -1
5F	4D	1	-3 0 1 -1
5F	4F	1	-3 1
5F	4G	1	-3 2 0 -1
5F	4I	1	-3 0 0 -1 0 1
5G	4D	1	-3 -1 1 -1 1
5G	4F	-1	-3
5G	4G	-1	-3 0 3 -1 -1
5G	4I	1	-3 -1 0 1 -1 1
5I	4F	-1	-3
5I	4G	1	-3 1 0 1 -1
5I	4I	1	0 0 0 1 -1
3P1	4D	-1	0 0 0 -1
3P1	4F	-1	-1 -1 -1
3P1	4G	1	-1 0 -1 -1 1
3P1	2D1	-1	-1 0 0 -2
3P1	2D2	-1	-1 -1 0 -2 1
3P1	2F1	1	-2 -1 1
3P1	2F2	1	-3 -1 -1 0 1
3P1	2G1	1	-2 0 -1 -2 1
3P1	2G2	1	-3 1 0 -2 0 1
3P2	4D	1	0 -2 0 -1
